,playerguid,framenumber,frametime_ms,posX,posY,posZ,health,sessionid,stateflags
202,Michelle_Rogers,10062,61,-122283.4140625,-2344.157470703125,2253.628173828125,0,2687592411372870805,0
203,Lori_Ross,10102,1252,-120795.484375,-3125.048828125,2253.628173828125,0,2687592411372870805,2
204,Michelle_Rogers,10108,188,-121856.109375,-2334.2568359375,2253.628173828125,0,2687592411372870805,2
205,Laura_Davis,10110,62,-120724.296875,-3015.93701171875,2253.628173828125,0,2687592411372870805,4
206,Michelle_Rogers,10110,62,-121849.5390625,-2332.75830078125,2253.628173828125,0,2687592411372870805,0
207,Laura_Davis,10119,282,-120549.7734375,-3104.074462890625,2362.235595703125,0,2687592411372870805,2
208,Lori_Ross,10148,907,-121103.140625,-2395.2880859375,2402.724609375,0,2687592411372870805,2
209,Laura_Davis,10164,501,-120884.734375,-2769.871826171875,2253.628173828125,0,2687592411372870805,2
210,Lori_Ross,10185,657,-121063.8515625,-2030.2412109375,2338.89404296875,0,2687592411372870805,2
211,Laura_Davis,10201,500,-121130.5078125,-2298.846435546875,2253.628173828125,0,2687592411372870805,2
212,Michelle_Rogers,10209,250,-120588.7890625,-2065.81103515625,2253.628173828125,0,2687592411372870805,2
213,Laura_Davis,10235,814,-120901.3046875,-1804.981689453125,2253.628173828125,0,2687592411372870805,2
214,Lori_Ross,10248,406,-120905.796875,-1402.0592041015625,2253.628173828125,0,2687592411372870805,4
215,Laura_Davis,10248,406,-120800.796875,-1653.5540771484375,2253.628173828125,0,2687592411372870805,0
216,Michelle_Rogers,10270,688,-120598.609375,-2123.39794921875,2253.628173828125,0,2687592411372870805,2
217,Lori_Ross,10272,61,-121311.0234375,-286.865234375,2504.0693359375,0,2687592411372870805,4
218,Michelle_Rogers,10272,61,-120574.3671875,-2114.3642578125,2253.628173828125,0,2687592411372870805,0
219,Laura_Davis,10275,94,-120831.0078125,-1292.5338134765625,2253.628173828125,0,2687592411372870805,2
220,Lori_Ross,10308,1033,-121744.6796875,594.3909301757812,2253.6279296875,0,2687592411372870805,2
221,Michelle_Rogers,10316,250,-120608.53125,-1917.3109130859375,2253.628173828125,0,2687592411372870805,2
222,Laura_Davis,10318,62,-121014.46875,-658.1224975585938,2253.628173828125,0,2687592411372870805,4
223,Michelle_Rogers,10318,62,-120610.328125,-1911.4246826171875,2253.628173828125,0,2687592411372870805,0
224,Lori_Ross,10360,1315,-121786.8671875,-1.6122779846191406,2384.986083984375,0,2687592411372870805,2
225,Michelle_Rogers,10362,62,-120752.890625,-1579.4510498046875,2253.628173828125,0,2687592411372870805,2
226,Michelle_Rogers,10409,1472,-120772.8515625,-1229.48583984375,2253.628173828125,0,2687592411372870805,2
227,Lori_Ross,10444,1097,-122188.578125,290.4057922363281,2253.628173828125,0,2687592411372870805,2
228,Laura_Davis,10444,1097,-121906.9296875,128.31996154785156,2253.628173828125,0,2687592411372870805,4
229,Lori_Ross,10444,1097,-122188.578125,290.4057922363281,2253.628173828125,0,2687592411372870805,2
230,Michelle_Rogers,10456,373,-120920.9765625,-934.42822265625,2253.628173828125,0,2687592411372870805,2
231,Lori_Ross,10458,61,-122339.6796875,392.76031494140625,2253.628173828125,0,2687592411372870805,4
232,Michelle_Rogers,10458,61,-120940.4140625,-914.4521484375,2253.628173828125,0,2687592411372870805,0
233,Michelle_Rogers,10510,1629,-121355.4921875,-751.9568481445312,2431.885498046875,0,2687592411372870805,2
234,Lori_Ross,10512,61,-123202.7421875,396.55029296875,2253.6279296875,0,2687592411372870805,4
235,Michelle_Rogers,10512,61,-121378.296875,-738.84765625,2407.27685546875,0,2687592411372870805,0
236,Lori_Ross,10557,1409,-123599.4375,623.9339599609375,2253.628173828125,0,2687592411372870805,2
237,Michelle_Rogers,10560,93,-121815.0546875,-473.7606506347656,2438.06591796875,0,2687592411372870805,2
238,Lori_Ross,10562,62,-123536.2578125,584.3040771484375,2253.628173828125,0,2687592411372870805,4
239,Michelle_Rogers,10562,62,-121834.0703125,-462.25836181640625,2423.2939453125,0,2687592411372870805,0
240,Lori_Ross,10628,2067,-123086.453125,283.53515625,2253.628173828125,0,2687592411372870805,2
241,Lori_Ross,10638,312,-123086.453125,283.53515625,2253.628173828125,0,2687592411372870805,2
242,Lori_Ross,10673,1096,-123336.515625,8.138790130615234,2253.628173828125,0,2687592411372870805,2
243,Jesus_Roberts,10693,630,-125766.5703125,-1724.5277099609375,2253.628173828125,0,2687592411372870805,9
244,Lori_Ross,10693,630,-123336.515625,8.138790130615234,2253.628173828125,0,2687592411372870805,9
245,Michelle_Rogers,10693,630,-121834.0703125,-462.25836181640625,2423.2939453125,0,2687592411372870805,9
246,Richard_Johnson,10693,630,-125240.015625,-2047.9449462890625,2253.628173828125,0,2687592411372870805,9
247,Laura_Davis,10693,630,-121906.9296875,128.31996154785156,2253.628173828125,0,2687592411372870805,9
248,Jesus_Roberts,10695,30,-58220.0625,20761.84375,603.5213623046875,600,2687592411372870805,1
249,Laura_Davis,10695,30,40036.3984375,-47163.0234375,10338.3828125,600,2687592411372870805,1
250,Lori_Ross,10695,30,62415.24609375,11999.9404296875,3121.867431640625,600,2687592411372870805,1
251,Michelle_Rogers,10695,30,-37233.08203125,-58119.44921875,2416.7138671875,600,2687592411372870805,1
252,Richard_Johnson,10695,30,35605.84375,55612.734375,6423.8681640625,600,2687592411372870805,1
253,Jesus_Roberts,10695,30,-58220.0625,20761.84375,603.5213623046875,600,2687592411372870805,1
254,Jesus_Roberts,10697,30,-58220.0625,20761.84375,603.5213623046875,600,2687592411372870805,1
255,Lori_Ross,10697,30,62401.25,11999.58984375,3122.957275390625,600,2687592411372870805,1
256,Michelle_Rogers,10697,30,-37230.1953125,-58117.45703125,2416.701416015625,600,2687592411372870805,1
257,Michelle_Rogers,10699,30,-37217.57421875,-58115.3359375,2415.91064453125,600,2687592411372870805,1
258,Michelle_Rogers,10699,30,-37210.546875,-58114.703125,2415.408935546875,600,2687592411372870805,1
259,Michelle_Rogers,10701,33,-37202.51953125,-58114.13671875,2414.818603515625,600,2687592411372870805,1
260,Lori_Ross,10701,33,62350.05078125,11999.3388671875,3127.683837890625,600,2687592411372870805,1
261,Michelle_Rogers,10701,33,-37183.41796875,-58112.8984375,2413.400390625,600,2687592411372870805,1
262,Richard_Johnson,10701,33,35633.20703125,55730.69921875,6409.69921875,600,2687592411372870805,1
263,Laura_Davis,10703,31,39991.65234375,-47219.84765625,10373.0185546875,600,2687592411372870805,1
264,Lori_Ross,10703,31,62318.05078125,11999.8671875,3128.614013671875,600,2687592411372870805,1
265,Michelle_Rogers,10703,31,-37173.56640625,-58112.2578125,2412.982177734375,600,2687592411372870805,1
266,Lori_Ross,10705,31,62302.08203125,12000.9326171875,3129.5556640625,600,2687592411372870805,1
267,Michelle_Rogers,10705,31,-37171.3828125,-58111.74609375,2412.980224609375,600,2687592411372870805,1
268,Lori_Ross,10705,31,62283.98828125,12003.1552734375,3130.576904296875,600,2687592411372870805,1
269,Laura_Davis,10707,31,39980.01953125,-47234.671875,10382.0185546875,600,2687592411372870805,1
270,Lori_Ross,10707,31,62233.42578125,12013.453125,3131.173583984375,600,2687592411372870805,1
271,Michelle_Rogers,10707,31,-37164.78125,-58109.69921875,2413.03759765625,600,2687592411372870805,1
272,Jesus_Roberts,10709,31,-58220.0625,20761.84375,603.5213623046875,600,2687592411372870805,1
273,Laura_Davis,10709,31,39956.59765625,-47215.84375,10379.662109375,600,2687592411372870805,1
274,Michelle_Rogers,10709,31,-37144.56640625,-58101.046875,2413.513671875,600,2687592411372870805,1
275,Jesus_Roberts,10709,31,-58220.0625,20761.84375,603.5213623046875,600,2687592411372870805,1
276,Lori_Ross,10709,31,62206.3203125,12020.2861328125,3131.501708984375,600,2687592411372870805,1
277,Richard_Johnson,10709,31,35667.16015625,55877.09765625,6384.48828125,600,2687592411372870805,1
278,Jesus_Roberts,10711,30,-58220.0625,20761.84375,603.5213623046875,600,2687592411372870805,1
279,Lori_Ross,10711,30,62143.5,12038.521484375,3133.8974609375,600,2687592411372870805,1
280,Michelle_Rogers,10711,30,-37124.5,-58091.2578125,2414.13671875,600,2687592411372870805,1
281,Jesus_Roberts,10711,30,-58220.0625,20761.84375,603.5213623046875,600,2687592411372870805,1
282,Jesus_Roberts,10713,28,-58220.0625,20761.84375,603.5213623046875,600,2687592411372870805,1
283,Lori_Ross,10713,28,62119.9296875,12043.46484375,3134.668212890625,600,2687592411372870805,1
284,Michelle_Rogers,10713,28,-37093.87890625,-58076.34765625,2414.29296875,600,2687592411372870805,1
285,Jesus_Roberts,10713,28,-58220.0625,20761.84375,603.5213623046875,600,2687592411372870805,1
286,Jesus_Roberts,10715,30,-58220.0625,20761.84375,603.5213623046875,600,2687592411372870805,1
287,Lori_Ross,10715,30,62071.109375,12035.314453125,3135.708251953125,600,2687592411372870805,1
288,Michelle_Rogers,10715,30,-37068.78125,-58064.13671875,2414.013916015625,600,2687592411372870805,1
289,Jesus_Roberts,10715,30,-58220.0625,20761.84375,603.5213623046875,600,2687592411372870805,1
290,Laura_Davis,10715,30,39925.61328125,-47147.44140625,10358.1279296875,600,2687592411372870805,1
291,Jesus_Roberts,10717,31,-58220.0625,20761.84375,603.5213623046875,600,2687592411372870805,1
292,Laura_Davis,10717,31,39914.72265625,-47111.56640625,10345.5068359375,600,2687592411372870805,1
293,Michelle_Rogers,10717,31,-37009.78125,-58035.44921875,2415.482666015625,600,2687592411372870805,1
294,Jesus_Roberts,10717,31,-58220.0625,20761.84375,603.5213623046875,600,2687592411372870805,1
295,Lori_Ross,10717,31,62039.69140625,12023.2744140625,3135.884033203125,600,2687592411372870805,1
296,Richard_Johnson,10717,31,35701.11328125,56023.49609375,6330.2216796875,600,2687592411372870805,1
297,Jesus_Roberts,10719,31,-58220.0625,20761.84375,603.5213623046875,600,2687592411372870805,1
298,Lori_Ross,10719,31,62029.64453125,12019.0927734375,3135.804931640625,600,2687592411372870805,1
